name,gender
اَبدَه,M
اَبیش,M
اَپروَند,M
اَپروَیژ,M
اَپیوه,M
اَترس,M
اَدرك,F
اَرتان,M
اَردویسور,F
اَرشَن,M
اَرشام,M
اَرشان,M
اَرشیت,F
اَشوداد,M
اَگومان,M
اَمُرداد,F
اَمِستریس,F
اَوَخشیا,M
اَوَرداد,M
اَوَركام,M
اَهنَوَد,M
اَهونَوَر,F
اُزیرن,M
اُشهن,M
اُورنگ,M
اُوژن,M
اِستاتیرا,F
اباذر,M
ابالفضل,M
ابتسام,F
ابتهاج,M
ابتهاش,M
ابتین,M
ابرارها,M
ابراهیم,M
ابریشم,F
ابناس,F
ابوالحسن,M
ابوالحسین,M
ابوالعباس,M
ابوالعلا,M
ابوالفتح,M
ابوالفرج,M
ابوالفضل,M
ابوالقاسم,M
ابوبكر,M
ابوذر,M
ابوریحان,M
ابوطالب,M
ابوعزیز,M
ابومسلم,M
اپرنگ,M
اپرویز,M
اتبك,M
اترك,M
اترین,M
اثیر,M
اثیرالدین,M
احترام,F
احتشام,M
احد,M
احسان,M
احسان الله,M
احلام,F
احمد,M
احمدرضا,M
احیا,M
اختای,M
اختر,F
اختیارالدین,M
اخشاد,M
اخشید,M
اخگر,F
ادریس,M
ادرینا,F
ادلیا,F
ادنا,M
ادهم,M
ادیان,M
ادیب,M
اذرخش,M
اراد,M
اران,M
ارانوس,F
ارباب,M
ارباد,M
ارباس,M
اربیل,M
ارتا,both
ارتا آریا,M
ارتاریا,M
ارتاش,F
ارتافرین,M
ارتان,M
ارتگین,M
ارتمن,M
ارتنگ,M
ارتیان,M
ارتین,M
ارج,M
ارجاسب,M
ارجاسپ,M
ارجمند,M
ارد,M
اردا,M
اردشام,M
اردشیر,M
اردلان,M
اردم,M
اردوان,M
اردی داد,M
اردیان,M
اردیبهشت,F
اردین,M
ارزنده,F
ارزین,M
ارزینه,F
ارژن,M
ارژنگ,M
ارس,M
ارسا,F
ارسام,M
ارسان,F
ارسطو,M
ارسلان,M
ارسمان,M
ارسن,M
ارسیا,M
ارسیما,M
